attendance_consistency,task_completion,task_delay_rate,productive_hours,experience,project_complexity,feedback_score,role,performance_percentage
68.44,55.5,72.18,5.25,13,1,1.92,HR,79.15
58.15,60.28,71.72,4.25,6,4,1.05,HR,48.78
66.8,53.58,87.55,5.48,1,1,1.11,Manager,48.21
80.3,68.63,39.24,6.68,9,4,3.52,Team Lead,93.85
50.33,45.43,75.71,4.25,13,4,2.3,Manager,61.82
59.48,63.85,77.06,5.94,8,2,1.87,Manager,69.64
92.73,85.79,27.74,9.29,5,2,4.94,Employee,100.0
77.25,79.48,33.52,6.27,10,4,3.02,Employee,94.9
67.4,52.28,84.12,4.85,4,2,2.25,Employee,55.19
55.0,55.16,87.77,5.46,10,1,1.76,HR,66.87
99.08,89.06,5.95,8.33,8,4,4.24,Manager,100.0
94.21,95.39,5.83,9.21,8,5,4.68,Employee,100.0
80.37,71.98,36.86,6.96,2,2,3.78,HR,88.04
55.76,42.84,73.12,4.52,3,2,1.79,HR,45.69
85.95,94.93,12.59,8.55,9,1,4.67,Team Lead,100.0
74.98,77.99,48.66,7.23,10,1,3.26,Employee,100.0
72.82,77.13,47.14,7.09,3,1,2.68,HR,84.8
80.38,65.44,40.07,6.71,8,3,2.87,Team Lead,89.6
75.98,76.04,56.97,6.52,6,1,2.86,Team Lead,87.34
99.24,87.0,22.78,9.75,11,5,4.71,HR,100.0
53.81,48.88,69.61,5.97,6,5,1.96,HR,55.86
82.56,76.05,53.79,6.44,11,1,3.47,HR,100.0
97.99,84.33,20.42,8.4,5,2,4.82,Team Lead,100.0
86.52,96.33,5.2,9.62,12,4,4.85,Manager,100.0
63.81,52.09,73.84,4.85,3,1,1.5,Employee,52.59
81.28,65.26,53.64,7.15,13,2,3.62,Manager,100.0
84.6,75.64,33.36,7.12,4,1,3.87,HR,98.12
85.02,85.02,0.89,9.1,7,4,4.47,HR,100.0
86.69,91.08,10.5,9.63,14,2,4.9,Manager,100.0
66.51,48.66,77.0,5.86,6,2,1.41,HR,60.18
76.54,74.45,40.22,6.6,11,5,3.37,Manager,95.28
94.55,95.34,13.6,9.73,3,3,4.81,Manager,100.0
58.17,64.13,60.85,5.65,3,5,1.95,HR,55.62
73.48,77.27,41.78,7.43,13,5,3.83,Employee,100.0
89.31,87.82,15.62,9.77,3,3,4.8,Employee,100.0
67.94,49.95,80.24,4.05,7,5,1.16,Team Lead,46.01
93.04,87.49,16.71,9.87,14,2,4.0,Team Lead,100.0
53.61,63.69,66.71,5.26,13,3,1.66,Team Lead,73.76
65.29,54.55,63.29,5.0,10,4,2.4,Team Lead,69.03
57.53,55.29,65.03,5.54,11,5,1.86,HR,66.99
90.58,90.4,19.69,9.78,6,4,4.05,Manager,100.0
87.85,82.24,20.53,9.97,13,1,4.67,Team Lead,100.0
78.3,75.24,34.43,7.54,8,1,3.41,Team Lead,100.0
56.5,51.78,84.56,4.25,8,1,2.29,HR,59.43
73.27,70.02,45.8,6.77,3,4,3.74,Team Lead,80.75
74.93,79.56,41.95,7.77,2,3,2.73,Employee,84.7
98.97,80.12,24.84,9.02,2,5,4.83,Team Lead,100.0
97.46,81.74,5.1,9.03,5,2,4.96,HR,100.0
94.75,88.28,29.89,9.15,2,1,4.15,Employee,100.0
77.92,67.51,47.96,7.96,4,5,3.65,HR,86.17
92.93,86.1,3.1,8.38,7,5,4.92,HR,100.0
87.26,84.35,8.59,8.77,2,3,4.92,Employee,100.0
58.56,40.04,76.8,5.14,6,2,1.11,HR,50.56
76.81,75.85,31.0,7.51,2,1,3.04,HR,90.49
74.39,65.06,47.62,7.55,13,5,2.75,Manager,96.13
82.89,78.34,37.31,7.03,8,3,3.37,Employee,98.78
51.59,58.43,60.97,5.86,1,4,2.37,Team Lead,53.4
88.15,95.09,19.4,9.35,12,4,4.24,Team Lead,100.0
85.19,91.43,10.42,8.43,7,5,4.21,Team Lead,100.0
94.47,90.0,8.63,8.3,12,5,4.1,Team Lead,100.0
98.54,97.83,24.26,9.64,14,4,4.57,Manager,100.0
87.71,83.72,29.29,9.32,1,4,4.52,Team Lead,100.0
67.13,56.19,63.49,5.47,10,5,2.04,Manager,68.49
88.85,83.62,13.85,9.81,3,2,4.01,Employee,100.0
74.32,70.4,34.4,6.49,13,1,3.01,Team Lead,100.0
82.32,77.51,58.82,6.78,9,3,3.87,Manager,97.34
97.32,83.16,26.54,9.36,1,1,4.65,Employee,100.0
73.81,69.61,59.41,6.81,13,3,3.87,HR,100.0
71.62,74.08,54.85,7.8,14,4,2.93,HR,100.0
76.17,76.88,30.07,7.76,14,4,3.35,Employee,100.0
71.99,74.37,50.9,7.55,8,4,3.8,Team Lead,94.91
98.89,99.88,15.31,9.64,1,5,4.46,Team Lead,100.0
95.7,87.68,11.78,9.27,13,2,4.25,HR,100.0
50.49,59.0,85.51,4.71,7,2,1.49,HR,54.23
53.3,41.38,66.5,4.97,3,5,1.08,Employee,38.66
50.65,45.89,69.31,4.8,10,4,1.36,HR,55.38
54.99,51.5,60.7,4.8,12,4,1.14,HR,62.78
88.74,95.68,25.98,8.96,10,5,4.05,Manager,100.0
82.24,69.68,36.86,6.86,9,5,3.52,Employee,93.98
87.57,97.42,16.64,8.92,10,3,4.17,HR,100.0
97.04,90.19,15.49,9.76,11,1,4.56,Employee,100.0
60.85,62.71,89.82,4.25,12,4,1.97,HR,63.15
87.98,82.29,14.27,9.24,14,5,4.39,Employee,100.0
58.45,53.8,66.59,4.41,10,2,1.49,Manager,62.95
99.57,98.79,15.6,9.43,10,2,4.37,Manager,100.0
97.01,86.32,27.27,8.53,13,3,4.29,Team Lead,100.0
64.97,43.41,78.73,4.05,4,5,1.63,Employee,39.94
51.31,58.43,67.68,4.41,2,5,1.68,HR,41.3
84.57,76.15,45.24,6.28,13,5,2.55,Manager,95.1
83.35,79.75,50.1,7.73,11,2,3.26,Employee,100.0
50.42,51.24,77.65,4.48,5,3,1.66,HR,47.15
78.03,69.93,49.08,6.09,11,5,2.67,HR,86.44
77.15,78.37,35.75,7.28,14,1,3.44,Manager,100.0
88.73,97.6,12.21,9.84,4,2,4.6,HR,100.0
97.29,82.65,26.3,8.95,1,2,4.04,Manager,100.0
65.61,62.43,64.37,4.57,13,1,1.26,Manager,75.4
63.68,63.15,60.73,5.96,11,3,1.52,Team Lead,76.11
78.69,74.2,58.88,7.17,2,1,2.84,Team Lead,82.22
75.63,67.26,46.01,6.8,14,2,3.73,Employee,100.0
77.02,75.54,59.84,7.32,14,2,3.69,Employee,100.0
75.71,73.64,48.7,7.65,6,2,3.6,Employee,95.53
50.49,46.28,62.75,4.67,3,4,2.16,HR,46.12
83.08,75.79,49.74,7.78,5,5,3.99,Manager,92.45
78.35,74.14,33.0,7.92,11,4,3.29,Employee,100.0
62.16,49.33,75.17,5.3,4,1,2.43,Manager,59.98
86.94,85.03,12.89,8.97,7,3,4.14,Team Lead,100.0
52.58,40.47,64.58,5.38,12,3,1.64,Employee,65.51
89.0,95.15,24.69,8.72,3,3,4.17,Employee,100.0
97.17,86.61,16.43,8.81,4,5,4.47,Employee,100.0
56.83,64.16,84.79,5.16,14,2,1.14,HR,72.0
96.8,90.08,14.36,9.62,6,3,4.8,HR,100.0
60.39,47.43,67.85,5.56,6,2,2.34,Employee,63.23
73.53,71.52,34.23,6.44,10,1,3.51,Employee,100.0
68.35,59.11,62.37,4.9,7,2,1.15,Employee,62.59
52.88,47.6,74.51,5.08,2,5,1.64,HR,40.21
68.5,53.9,74.85,4.07,3,4,1.67,Manager,45.02
52.72,45.92,83.29,5.94,9,4,1.7,Employee,58.51
93.5,88.35,11.15,8.05,6,5,4.76,Employee,100.0
88.96,83.09,16.52,8.49,4,4,4.77,Manager,100.0
59.52,54.53,79.0,5.47,13,2,1.21,HR,70.84
90.63,80.27,11.63,9.32,3,5,4.13,Team Lead,100.0
71.75,65.48,31.67,6.2,1,1,2.8,Team Lead,76.25
74.03,77.95,46.77,7.65,6,4,3.77,HR,93.66
80.2,68.88,34.73,7.86,14,4,2.52,Manager,100.0
52.5,57.14,78.46,4.85,14,5,2.01,Employee,66.88
71.43,66.2,43.5,6.58,8,4,3.37,HR,86.78
50.19,58.94,80.46,5.13,14,2,2.04,Employee,73.97
61.44,61.78,79.36,5.89,14,3,1.42,HR,76.59
80.96,69.94,47.58,6.63,1,5,3.85,Employee,76.13
58.68,49.82,66.63,4.48,6,1,1.75,Manager,57.44
73.79,66.01,38.04,7.82,14,1,3.45,Manager,100.0
96.38,81.15,15.27,9.13,12,4,4.7,Manager,100.0
81.45,77.38,33.07,7.97,12,1,3.02,Manager,100.0
90.97,89.69,19.07,8.62,2,2,4.87,HR,100.0
82.53,69.9,56.78,6.15,1,5,3.45,Team Lead,70.28
89.8,85.88,0.86,9.14,8,2,4.9,Employee,100.0
91.23,85.64,5.67,8.33,8,5,4.45,Manager,100.0
85.27,95.42,17.63,9.24,4,2,4.68,Manager,100.0
86.98,86.88,3.5,8.91,4,5,4.27,HR,100.0
81.89,67.57,32.8,7.92,13,4,3.62,Team Lead,100.0
92.7,97.96,10.7,8.17,7,4,4.82,Team Lead,100.0
76.4,68.46,35.07,6.14,5,1,3.55,Manager,89.07
77.11,79.57,42.35,6.44,4,2,3.27,Team Lead,87.21
93.65,90.27,28.06,8.06,2,4,4.43,Team Lead,100.0
80.14,65.62,30.2,6.14,12,3,3.28,Manager,98.76
82.84,78.42,49.46,7.45,11,3,3.32,HR,100.0
70.61,70.44,35.32,6.19,13,3,3.83,Manager,100.0
52.54,60.33,85.33,5.54,6,5,1.53,HR,51.52
83.51,74.85,55.38,8.0,7,5,3.25,Manager,92.49
85.51,83.03,16.17,9.14,8,4,4.67,Manager,100.0
60.68,43.1,84.26,4.3,14,4,1.57,Manager,60.61
86.0,96.49,17.97,8.54,7,5,4.99,Manager,100.0
69.94,61.51,81.22,4.49,12,3,1.85,HR,69.42
99.55,91.76,29.53,8.69,13,4,4.92,Manager,100.0
77.13,76.9,34.26,7.45,8,1,3.23,Employee,100.0
67.15,55.03,84.01,4.03,6,1,1.17,Manager,52.48
82.47,77.47,39.58,7.15,11,3,2.73,HR,100.0
97.55,96.08,28.92,8.7,1,3,4.5,Team Lead,100.0
86.25,86.93,13.8,8.55,13,5,4.86,Employee,100.0
95.96,81.61,22.24,8.97,14,3,4.12,Team Lead,100.0
67.87,44.58,72.13,4.97,3,5,1.89,Employee,46.2
91.27,88.73,23.83,9.67,14,4,4.79,Employee,100.0
67.87,44.85,63.91,5.95,7,5,2.3,Manager,62.91
96.65,97.06,5.2,9.47,9,2,4.09,Team Lead,100.0
91.97,87.13,13.78,8.88,9,2,4.45,Manager,100.0
76.73,74.21,39.44,7.0,6,3,3.72,HR,93.17
62.79,49.54,81.75,5.97,11,2,1.92,Employee,71.64
88.45,81.39,27.24,9.87,5,3,4.15,HR,100.0
65.33,59.12,86.56,4.49,10,5,2.1,HR,59.73
82.45,75.2,39.02,6.87,7,2,3.0,Team Lead,94.75
89.93,88.05,8.19,8.69,6,1,4.68,Team Lead,100.0
62.96,46.56,70.24,4.1,1,1,2.43,Team Lead,48.31
75.82,75.48,57.56,6.81,7,3,3.34,Manager,88.85
55.6,47.15,74.48,5.41,12,2,2.49,Employee,72.66
87.33,97.46,6.25,9.37,3,4,4.06,Employee,100.0
55.68,48.98,71.52,4.93,1,3,2.25,HR,46.24
72.36,75.85,31.57,7.56,4,4,3.88,HR,91.73
54.53,54.17,70.55,5.22,12,2,1.04,Manager,67.06
91.73,84.86,28.94,9.01,14,3,4.38,HR,100.0
62.99,64.51,68.43,4.07,8,2,2.48,HR,66.13
76.59,67.44,52.53,6.33,7,3,3.22,Manager,84.66
96.96,99.06,1.8,8.78,3,3,4.49,Employee,100.0
81.42,71.8,45.24,6.39,2,2,3.94,HR,84.46
89.16,82.21,22.35,8.29,10,4,4.96,Team Lead,100.0
63.76,58.45,83.12,5.13,7,3,2.15,Employee,61.26
95.24,81.68,24.8,9.28,14,5,4.23,Employee,100.0
73.97,65.09,35.47,6.95,13,2,2.91,Employee,100.0
83.95,76.73,51.56,6.28,11,1,2.51,Manager,97.61
74.26,80.0,41.27,6.45,2,1,3.66,HR,86.83
78.2,76.15,44.39,7.17,13,4,2.8,HR,100.0
80.29,66.36,37.03,7.36,12,4,2.84,HR,99.54
79.45,68.24,45.55,7.19,11,2,3.29,Manager,100.0
96.4,80.97,24.53,9.2,8,1,4.96,Employee,100.0
52.61,54.14,73.27,5.59,14,2,2.09,HR,77.14
58.86,42.06,86.76,5.74,8,4,2.5,Employee,59.16
54.09,57.85,74.82,5.51,13,4,1.15,Employee,67.23
87.31,86.87,28.08,9.03,13,4,4.2,HR,100.0
75.23,66.98,37.98,6.88,14,3,2.55,Employee,100.0
58.6,55.95,70.14,5.23,13,3,1.06,HR,68.84
86.49,91.34,27.8,9.22,6,4,4.91,Manager,100.0
93.49,80.72,2.56,9.41,8,4,4.74,Employee,100.0
90.68,87.26,29.86,8.89,6,4,4.33,HR,100.0
51.93,43.7,89.77,5.47,3,5,1.9,Manager,40.98
61.44,54.29,64.67,5.71,10,5,1.59,HR,65.2
80.19,75.61,56.76,7.26,9,4,2.79,HR,91.61
99.06,88.94,24.48,8.51,6,2,4.98,Manager,100.0
61.76,44.84,61.98,5.96,7,1,1.19,HR,64.24
85.08,80.15,6.57,8.07,10,5,4.11,Employee,100.0
64.71,44.45,87.75,5.45,1,1,1.15,HR,44.93
96.88,88.12,22.28,8.36,14,3,4.71,Team Lead,100.0
84.62,67.79,31.63,7.31,12,5,3.83,HR,100.0
71.04,68.66,52.94,7.28,1,3,2.96,Employee,74.99
81.68,66.97,48.03,6.07,11,2,3.25,Manager,95.48
51.35,53.83,65.64,4.67,5,5,1.8,HR,48.24
51.69,53.12,69.2,4.14,11,1,1.3,Employee,62.22
84.21,67.19,48.72,6.38,11,2,2.53,Team Lead,93.99
73.06,78.54,38.28,6.84,13,3,2.8,Team Lead,100.0
70.66,74.97,31.33,7.57,11,2,3.87,HR,100.0
75.27,66.41,44.58,7.84,14,3,2.56,HR,100.0
87.22,82.04,13.72,9.72,3,1,4.69,HR,100.0
65.73,48.35,84.95,5.23,7,1,2.05,HR,62.33
98.42,86.03,14.05,8.09,7,4,4.68,HR,100.0
72.03,65.48,37.36,6.99,9,4,3.04,Employee,90.31
98.9,96.22,26.31,9.9,14,4,4.86,Manager,100.0
83.34,76.48,41.09,6.33,8,4,2.52,Manager,87.82
60.7,53.82,63.17,4.49,6,3,2.17,HR,57.97
72.54,69.41,30.59,6.95,5,1,3.65,Employee,93.83
63.71,51.23,81.57,5.54,9,5,1.99,Team Lead,60.66
83.97,65.61,45.17,7.13,5,5,3.89,Employee,86.74
78.09,68.85,50.75,7.72,9,3,2.52,Manager,93.2
88.98,96.7,9.81,8.98,4,4,4.94,Employee,100.0
82.58,74.9,40.48,7.02,10,4,3.34,Team Lead,98.81
72.2,67.48,54.7,7.58,1,2,2.53,HR,75.87
63.59,62.22,75.72,4.36,13,4,1.43,HR,66.35
85.84,94.99,9.66,8.21,6,3,4.76,Team Lead,100.0
80.44,76.9,39.5,7.71,2,3,3.86,Team Lead,91.15
55.56,55.89,71.43,4.67,7,2,1.43,Employee,56.91
65.02,62.32,89.83,4.07,12,3,1.83,HR,64.46
82.61,68.93,35.29,7.85,7,4,2.84,HR,93.72
86.54,90.52,16.05,9.05,13,4,4.72,Team Lead,100.0
82.6,78.93,47.47,7.56,11,3,3.24,Team Lead,100.0
98.04,85.31,11.05,9.18,2,5,4.87,Employee,100.0
92.24,92.54,15.13,9.93,4,5,4.69,HR,100.0
54.71,51.16,78.39,4.2,4,1,1.87,Manager,49.68
90.51,89.91,0.98,8.39,3,2,4.15,Manager,100.0
79.39,66.13,33.37,6.1,10,5,2.89,Manager,87.94
75.59,78.6,54.26,7.38,6,5,3.31,Employee,87.1
72.83,75.12,58.71,6.71,5,2,3.61,HR,86.59
71.45,72.27,50.94,7.7,9,4,2.76,HR,91.64
99.16,95.32,0.16,8.0,12,1,4.38,Team Lead,100.0
88.75,94.98,5.36,9.33,7,2,4.97,HR,100.0
57.74,64.71,82.84,4.16,3,1,1.99,Team Lead,52.04
97.41,90.31,21.8,8.68,13,5,4.73,Manager,100.0
69.7,44.71,63.6,5.63,6,5,2.16,Team Lead,59.04
53.25,44.95,89.35,4.61,9,4,2.18,Employee,52.88
64.55,44.74,68.07,4.74,11,4,1.57,Employee,61.51
93.15,83.19,3.0,8.85,3,3,4.44,Employee,100.0
85.0,80.37,11.69,9.38,11,3,4.7,HR,100.0
65.65,49.71,83.74,5.49,4,4,1.56,HR,49.84
95.84,90.12,12.25,9.89,7,5,4.28,Team Lead,100.0
81.74,67.71,54.0,7.28,14,4,3.5,Team Lead,100.0
73.71,79.15,39.94,7.79,8,2,2.64,HR,98.33
64.39,46.68,85.42,4.29,6,3,1.53,HR,48.07
98.67,81.24,21.27,8.02,9,1,4.86,Manager,100.0
85.25,90.69,25.32,9.46,4,5,4.85,HR,100.0
65.46,41.04,78.24,4.64,4,1,1.28,Employee,48.61
89.95,91.89,8.18,9.06,1,3,4.44,Team Lead,100.0
55.57,41.57,86.79,4.1,5,3,1.41,Manager,40.53
93.63,87.35,16.53,8.74,4,1,4.45,Manager,100.0
76.86,73.72,37.23,6.23,7,1,2.56,Employee,89.83
84.37,69.34,53.9,6.25,8,5,3.81,HR,87.37
82.99,67.61,40.37,6.56,11,5,2.69,Team Lead,91.19
50.23,52.49,71.02,4.46,6,4,2.23,Employee,51.59
58.55,44.69,82.67,5.67,2,1,2.4,Manager,53.86
62.28,43.62,60.96,5.47,14,3,1.52,HR,73.44
75.84,78.25,32.74,7.09,4,2,2.63,Employee,88.48
70.05,75.49,32.3,6.29,7,2,3.69,Manager,93.6
95.42,81.59,17.84,9.18,13,5,4.68,HR,100.0
87.41,82.97,15.65,9.35,8,2,4.59,Employee,100.0
84.36,69.49,39.15,7.15,7,5,2.7,Manager,87.33
53.17,41.67,60.3,4.13,4,5,1.9,HR,41.87
93.14,80.96,12.51,8.78,1,4,4.9,Team Lead,100.0
93.73,86.35,29.49,9.29,9,4,4.74,Team Lead,100.0
93.76,91.96,23.12,10.0,14,5,4.96,HR,100.0
50.82,48.31,65.56,4.21,5,1,2.4,Employee,55.13
51.86,58.41,60.85,5.63,2,5,1.55,HR,48.23
75.21,66.63,40.83,7.6,11,5,3.12,HR,96.21
67.25,49.0,75.98,4.2,10,2,1.62,Employee,61.43
58.96,62.69,74.57,4.01,2,2,1.07,Team Lead,44.03
70.75,68.64,53.12,6.75,6,4,3.21,Manager,81.46
57.05,47.62,64.94,5.07,1,3,1.73,HR,45.54
58.06,42.92,77.29,5.89,9,2,1.12,HR,60.95
81.08,72.19,43.61,7.7,3,3,3.56,Manager,89.53
52.63,64.39,63.9,4.89,3,5,1.67,HR,48.47
57.25,62.17,60.83,5.71,9,5,1.06,Team Lead,62.64
72.97,71.28,38.6,6.68,10,2,3.27,Employee,97.67
94.46,91.12,15.84,8.08,14,4,4.37,Team Lead,100.0
93.35,95.08,11.48,9.1,9,3,4.19,Team Lead,100.0
95.51,99.23,12.6,9.12,13,4,4.47,Team Lead,100.0
55.85,40.76,80.04,5.61,1,2,1.53,Employee,43.87
84.21,66.88,55.45,6.34,10,2,3.86,HR,97.03
72.31,70.35,35.32,6.59,13,3,3.42,Manager,100.0
92.51,92.71,18.72,8.27,2,3,4.39,Team Lead,100.0
56.54,50.8,71.11,5.96,7,3,1.34,Team Lead,59.64
88.59,82.31,6.24,9.14,3,2,4.25,Team Lead,100.0
56.71,57.65,77.18,4.86,11,5,1.56,Manager,60.1
62.55,41.52,77.11,5.05,11,4,1.68,Employee,60.3
83.31,78.3,46.24,6.24,14,5,3.51,Team Lead,100.0
79.51,65.36,56.93,7.04,1,4,3.2,Manager,73.3
66.23,60.79,69.89,5.19,10,1,1.21,HR,70.78
56.03,47.97,81.98,5.35,5,3,1.67,Team Lead,51.11
82.83,71.03,36.09,7.04,2,5,3.05,Team Lead,79.23
97.76,80.86,8.25,8.05,12,3,4.58,Manager,100.0
61.19,42.76,80.67,5.21,12,3,2.43,Team Lead,68.16
64.92,65.0,66.38,4.91,2,2,2.2,Team Lead,58.0
77.77,65.48,44.49,6.99,7,2,3.06,Team Lead,90.43
52.19,62.36,89.74,4.12,14,5,2.32,Manager,64.04
66.19,50.75,67.25,4.27,14,5,1.23,Employee,63.8
78.01,77.07,43.55,6.12,9,4,3.97,Team Lead,94.37
94.4,96.14,8.48,8.43,5,5,4.44,HR,100.0
99.63,81.23,14.05,8.8,3,4,4.74,Employee,100.0
87.88,82.97,8.79,8.06,2,4,4.74,HR,100.0
84.33,78.64,44.34,7.1,14,3,3.87,Manager,100.0
57.19,54.91,72.79,5.95,6,3,1.82,Team Lead,61.08
90.18,87.17,2.6,8.51,4,4,4.07,Manager,100.0
60.2,53.36,64.82,5.07,11,1,1.95,HR,73.16
96.48,95.81,22.35,8.55,3,2,4.86,Team Lead,100.0
80.37,70.79,58.29,6.17,12,1,2.56,Manager,95.3
96.71,84.85,13.67,8.55,12,4,4.45,Employee,100.0
55.91,63.42,79.71,4.27,12,5,1.5,Manager,59.92
75.85,77.79,34.05,7.84,14,4,3.5,Manager,100.0
74.93,76.69,56.2,7.98,5,5,2.98,Team Lead,85.28
70.21,71.1,37.01,6.69,5,4,3.26,HR,83.26
73.89,76.9,33.77,7.17,14,1,3.54,Manager,100.0
66.6,46.18,76.5,5.42,2,2,1.98,Team Lead,52.2
97.82,96.9,14.41,8.35,4,4,4.48,Employee,100.0
96.2,86.44,22.5,8.14,14,5,4.51,HR,100.0
93.99,90.17,29.49,9.88,2,3,4.96,HR,100.0
73.46,70.13,32.07,7.91,14,3,3.64,Manager,100.0
99.22,92.49,11.16,8.23,1,5,4.75,HR,100.0
68.12,47.85,62.59,5.2,3,4,1.03,Team Lead,47.98
75.21,74.21,59.79,7.77,9,4,3.89,Manager,97.41
65.81,49.05,88.24,5.37,2,2,1.12,Team Lead,45.95
57.44,44.34,75.85,4.31,7,1,1.84,Employee,55.27
89.41,93.28,8.98,8.21,10,2,4.6,Team Lead,100.0
76.8,65.97,35.1,6.23,14,2,2.77,Manager,100.0
98.96,92.03,0.78,9.08,13,1,4.8,HR,100.0
63.11,50.23,63.06,4.26,12,2,2.05,Employee,69.82
98.94,85.53,1.4,9.37,2,1,4.41,HR,100.0
87.79,99.55,14.34,9.87,14,2,4.26,Team Lead,100.0
69.49,50.86,78.4,5.61,13,4,1.54,HR,70.68
52.82,59.09,63.26,5.96,14,5,1.57,HR,73.95
85.94,98.15,18.79,8.71,2,1,4.55,Manager,100.0
56.02,59.16,67.32,5.63,5,1,2.21,HR,65.51
93.43,95.79,7.36,9.05,10,5,4.41,Manager,100.0
74.54,65.73,39.37,7.67,6,2,3.86,HR,96.13
50.4,64.32,71.76,4.35,9,3,2.34,HR,63.01
62.45,40.31,66.83,4.9,6,4,1.94,Manager,52.57
66.73,49.28,60.13,4.27,5,3,1.44,Employee,51.97
68.14,43.91,78.23,5.27,11,1,2.2,Employee,71.91
84.28,79.98,56.14,7.65,6,3,3.14,Employee,93.83
96.11,94.15,28.34,9.3,3,5,4.65,Employee,100.0
94.56,96.81,24.61,9.03,1,5,4.06,Employee,100.0
85.02,83.18,14.06,9.89,9,5,4.1,Employee,100.0
93.1,88.56,5.75,8.89,3,3,4.27,Team Lead,100.0
99.84,80.15,7.9,8.4,9,5,4.01,Manager,100.0
74.27,78.35,56.64,6.09,1,3,3.06,HR,72.52
57.68,45.88,82.19,4.45,7,3,1.69,Manager,50.45
97.02,97.83,7.59,8.86,10,5,4.31,Employee,100.0
98.3,84.4,12.35,8.12,2,5,4.95,Employee,100.0
81.76,75.25,45.94,6.45,1,4,3.71,HR,78.64
90.23,94.18,6.68,8.02,6,5,4.66,Employee,100.0
59.57,54.25,76.85,5.55,12,3,2.24,Manager,72.74
85.82,96.08,9.12,9.44,12,3,4.11,HR,100.0
81.57,74.71,33.76,7.38,11,2,3.36,Manager,100.0
77.51,68.96,56.35,7.09,13,3,3.18,HR,100.0
