attendance_consistency,task_completion,task_delay_rate,work_hours,productive_hours,idle_time_hours,overtime_hours,experience,feedback_score,project_complexity,peer_collaboration_score,manager_rating,training_hours,learning_inde,performance_percentage,role
1.0,94.0,0.11,7.7,7.1,0.6,6,12,4,1,4,3,5.0,0.67,89.0,0.0
0.8,89.0,0.08,7.9,7.2,0.7,3,1,5,2,3,4,5.0,0.57,78.0,0.0
0.78,91.0,0.26,8.0,7.2,0.8,2,8,3,2,3,5,4.0,0.56,77.0,0.0
0.78,95.0,0.07,7.9,7.2,0.7,3,1,3,3,5,5,3.0,0.81,89.0,0.0
0.92,91.0,0.15,8.6,7.4,1.2,2,6,3,3,1,3,5.0,0.79,87.0,0.0
0.88,65.0,0.14,7.9,7.6,0.3,3,0,2,2,5,2,4.0,0.72,81.0,0.0
0.89,85.0,0.09,6.8,6.6,0.2,0,4,4,2,4,5,7.0,0.76,88.0,0.0
0.94,89.0,0.08,8.0,7.3,0.7,2,6,3,4,4,2,3.0,0.63,82.0,0.0
0.94,90.0,0.05,7.1,6.3,0.8,0,0,3,3,4,3,9.0,0.64,86.0,0.0
0.89,69.0,0.04,7.7,7.3,0.4,1,2,5,2,2,5,6.0,0.87,86.0,0.0
0.87,100.0,0.03,8.3,7.3,1.0,4,1,4,3,4,4,6.0,0.8,95.0,0.0
0.76,100.0,0.17,8.5,7.3,1.2,1,15,2,4,3,4,4.0,0.91,82.0,0.0
0.79,81.0,0.03,10.0,9.6,0.4,3,6,3,4,3,3,5.0,0.9,88.0,0.0
0.72,91.0,0.04,6.4,5.9,0.5,3,1,3,2,2,3,3.0,0.66,78.0,0.0
0.9,96.0,0.04,7.3,7.3,0.0,1,5,4,3,4,4,7.0,0.98,83.0,0.0
0.8,71.0,0.05,8.9,7.8,1.1,1,4,3,2,2,4,5.0,0.89,85.0,0.0
0.77,85.0,0.07,6.3,5.3,1.0,0,7,2,4,5,4,8.0,0.87,99.0,0.0
0.84,92.0,0.02,6.7,6.0,0.7,1,1,3,5,4,5,8.0,0.67,84.0,0.0
0.99,98.0,0.08,7.7,6.9,0.8,3,1,1,4,3,3,7.0,0.79,91.0,0.0
0.89,78.0,0.06,7.9,6.8,1.1,2,10,4,2,5,3,1.0,0.82,80.0,0.0
0.76,84.0,0.11,7.9,7.5,0.4,3,3,5,4,4,3,2.0,0.72,81.0,0.0
0.78,88.0,0.11,6.8,5.5,1.3,1,3,3,5,5,4,8.0,0.81,80.0,0.0
0.99,87.0,0.08,9.1,6.8,2.0,2,12,5,4,3,4,6.0,0.7,90.0,0.0
0.8,100.0,0.11,7.3,6.2,1.1,1,2,5,3,4,4,4.0,0.6,78.0,0.0
0.85,78.0,0.09,7.5,7.1,0.4,4,10,4,4,3,3,6.0,0.55,93.0,0.0
0.91,63.0,0.275,9.3,8.5,0.8,3,4,3,3,2,5,8.0,0.58,87.0,0.0
0.93,100.0,0.08,6.5,6.1,0.4,1,2,5,2,1,4,6.0,0.74,96.0,0.0
0.85,74.0,0.01,8.0,7.2,0.8,1,3,5,3,3,4,3.0,0.81,70.0,0.0
0.71,92.0,0.11,8.1,7.7,0.4,1,2,2,2,3,3,0.0,0.78,76.0,0.0
0.85,86.0,0.1,9.1,8.5,0.6,2,4,2,2,5,4,4.0,0.79,81.0,0.0
0.83,89.0,0.16,6.3,5.8,0.5,0,0,3,4,4,5,9.0,0.8,98.0,0.0
0.66,87.0,0.09,9.4,9.1,0.3,1,4,5,4,4,2,9.0,0.73,81.0,0.0
0.84,100.0,0.05,9.0,8.7,0.3,0,5,4,3,5,5,5.0,0.77,91.0,0.0
0.79,92.0,0.11,7.2,5.9,1.3,1,3,3,2,2,4,7.0,0.68,84.0,0.0
0.75,81.0,0.19,8.0,7.5,0.5,0,6,4,3,3,4,5.0,0.67,76.0,0.0
0.79,72.0,0.05,7.7,7.4,0.3,3,2,4,3,3,5,5.0,0.75,85.0,0.0
0.78,81.0,0.03,8.3,7.7,0.6,0,6,4,1,3,4,4.0,0.71,81.0,0.0
0.72,73.0,0.24,8.2,7.4,0.8,1,6,5,4,4,5,6.0,0.9,80.0,0.0
1.0,100.0,0.05,8.0,7.1,0.9,1,4,2,3,5,3,3.0,0.71,91.0,0.0
0.85,82.0,0.08,7.6,6.5,1.1,4,3,3,3,5,2,3.0,0.59,86.0,0.0
0.77,68.0,0.05,8.3,7.4,0.9,4,4,5,5,5,4,4.0,0.64,95.0,0.0
0.77,88.0,0.14,8.0,7.5,0.5,1,2,5,3,3,1,4.0,0.84,92.0,0.0
0.83,74.0,0.03,7.0,7.0,0.0,3,1,4,1,5,4,3.0,0.84,83.0,0.0
0.77,98.0,0.19,7.7,6.8,0.9,0,1,3,3,5,4,3.0,0.43,97.0,0.0
0.93,91.0,0.18,7.3,6.7,0.6,1,0,1,2,4,5,1.0,0.67,85.0,0.0
0.89,83.0,0.14,8.8,7.9,0.9,1,3,2,5,4,4,9.0,0.81,84.0,0.0
0.9,83.0,0.07,8.8,8.2,0.6,0,6,5,4,5,3,3.0,0.9,95.0,0.0
0.82,72.0,0.23,7.7,7.6,0.1,5,4,4,2,4,1,1.0,0.7,75.0,0.0
0.97,89.0,0.09,8.5,8.4,0.1,3,2,5,5,1,5,5.0,0.73,99.0,0.0
0.87,79.0,0.07,8.7,7.1,1.6,3,2,4,5,3,4,7.0,0.7,89.0,0.0
0.79,86.0,0.03,7.9,6.7,1.2,2,2,5,3,4,5,4.0,0.61,70.0,0.0
0.85,90.0,0.02,7.7,7.1,0.6,2,2,4,5,5,3,5.0,0.9,100.0,0.0
0.99,100.0,0.05,8.1,6.5,1.6,3,13,5,4,4,4,4.0,0.81,77.0,0.0
0.87,69.0,0.16,8.1,7.3,0.8,2,16,4,4,2,5,1.0,0.72,86.0,0.0
0.86,87.0,0.08,9.3,8.6,0.7,1,3,3,5,4,4,3.0,0.75,75.0,0.0
0.8,81.0,0.11,7.6,6.6,1.0,1,1,4,4,3,5,4.0,0.75,87.0,0.0
0.92,100.0,0.1,8.9,7.8,1.1,1,3,2,3,4,5,5.0,0.88,90.0,0.0
0.75,100.0,0.18,6.4,4.5,1.9,1,2,5,4,1,4,4.0,0.6,84.0,0.0
1.0,100.0,0.16,9.2,8.7,0.5,3,5,4,3,3,2,4.0,0.48,89.0,0.0
0.88,93.0,0.05,9.9,8.2,1.7,1,8,4,5,4,5,7.0,0.91,100.0,0.0
0.81,95.0,0.03,6.3,5.1,1.2,1,15,4,5,4,4,5.0,0.95,86.0,0.0
0.98,91.0,0.03,8.0,7.3,0.7,1,0,5,4,4,5,3.0,0.69,90.0,0.0
0.82,91.0,0.08,6.5,5.6,0.9,3,4,3,4,4,4,5.0,0.93,85.0,0.0
0.75,78.0,0.06,8.2,7.4,0.8,1,3,4,3,5,4,4.0,0.63,93.0,0.0
0.8,61.0,0.04,8.6,7.4,1.2,2,1,5,2,4,1,6.0,0.48,89.0,0.0
0.84,84.0,0.04,8.2,7.5,0.7,1,7,1,1,4,4,7.0,0.74,94.0,0.0
0.72,74.0,0.23,8.0,7.1,0.9,1,16,3,3,5,3,5.0,0.62,93.0,1.0
0.94,81.0,0.07,8.1,7.1,1.0,2,8,3,2,3,3,4.0,0.82,82.0,1.0
0.78,93.0,0.15,8.6,6.3,2.0,2,1,5,3,4,2,3.0,0.88,93.0,0.0
0.76,70.0,0.08,9.9,8.8,1.1,0,1,5,1,4,1,5.0,0.86,80.0,0.0
0.89,91.0,0.1,6.0,6.0,0.0,2,15,3,3,3,3,4.0,0.88,72.0,0.0
0.62,80.0,0.06,8.4,7.5,0.9,3,2,2,3,2,5,6.0,0.49,89.0,0.0
0.71,62.0,0.12,7.0,7.0,0.0,2,16,5,3,5,5,6.0,0.73,89.0,0.0
0.83,79.0,0.21,9.8,9.6,0.2,1,2,3,1,1,5,3.0,0.83,84.0,1.0
0.74,98.0,0.06,6.1,5.5,0.6,3,4,4,3,5,4,1.0,0.73,82.0,0.0
0.79,85.0,0.14,7.7,7.1,0.6,0,1,4,2,5,3,6.0,0.46,85.0,0.0
0.86,86.0,0.22,7.5,6.9,0.6,3,12,4,4,4,5,8.0,0.49,97.0,0.0
0.91,71.0,0.02,9.7,8.6,1.1,3,4,3,3,3,5,9.0,0.77,95.0,0.0
0.9,97.0,0.09,7.5,7.2,0.3,2,2,3,2,4,3,10.0,0.76,75.0,0.0
0.77,91.0,0.05,9.3,8.7,0.6,2,4,4,3,5,4,2.0,0.53,84.0,0.0
0.78,78.0,0.09,7.9,7.3,0.6,1,5,2,1,3,3,8.0,0.88,81.0,0.0
0.79,88.0,0.08,7.6,7.2,0.4,1,1,4,3,2,4,7.0,0.85,96.0,0.0
0.84,89.0,0.2,8.1,6.8,1.3,3,8,5,5,4,4,7.0,0.93,93.0,0.0
0.99,89.0,0.07,9.6,8.7,0.9,5,11,1,3,4,1,5.0,0.77,84.0,0.0
0.93,66.0,0.17,8.6,6.9,1.7,1,6,3,4,3,3,4.0,0.42,100.0,0.0
0.92,81.0,0.14,8.5,7.8,0.7,2,2,5,1,5,2,2.0,0.65,86.0,0.0
0.86,88.0,0.04,6.7,5.7,1.0,0,16,5,1,5,2,3.0,0.41,81.0,0.0
0.78,82.0,0.14,7.0,6.0,1.0,2,1,3,4,4,2,6.0,0.54,92.0,0.0
0.7,74.0,0.11,8.8,8.8,0.0,0,13,3,2,5,1,3.0,0.36,85.0,0.0
0.82,96.0,0.08,8.1,7.1,1.0,2,0,3,3,4,3,4.0,0.73,84.0,0.0
0.65,89.0,0.02,7.5,7.1,0.4,2,7,3,1,5,3,5.0,0.56,91.0,0.0
1.0,71.0,0.12,8.6,7.6,1.0,1,3,4,5,4,4,4.0,0.91,77.0,0.0
0.95,96.0,0.15,8.1,6.9,1.2,2,3,4,5,3,4,8.0,0.61,77.0,0.0
0.85,93.0,0.17,8.2,7.4,0.8,3,2,4,3,5,3,9.0,0.81,83.0,0.0
0.98,69.0,0.06,8.3,7.3,1.0,2,3,5,3,3,5,5.0,0.53,85.0,0.0
0.75,87.0,0.06,7.0,6.1,0.9,2,0,4,5,4,3,2.0,0.87,88.0,0.0
0.76,84.0,0.16,8.7,8.4,0.3,1,5,2,5,4,3,4.0,0.83,90.0,0.0
0.8,85.0,0.275,9.6,8.2,1.4,2,2,4,4,4,3,2.0,0.88,81.0,1.0
0.93,78.0,0.05,8.3,7.6,0.7,0,3,3,5,1,5,6.0,0.94,86.0,0.0
0.83,93.0,0.07,8.5,7.3,1.2,2,3,4,3,4,4,3.0,0.71,81.0,0.0
0.8,74.0,0.04,10.0,8.8,1.2,0,13,4,3,4,5,4.0,0.55,91.0,0.0
0.82,87.0,0.23,6.1,5.2,0.9,5,6,4,2,4,4,6.0,0.86,83.0,0.0
0.75,84.0,0.04,8.6,7.5,1.1,2,2,4,1,3,5,3.0,0.7,84.0,0.0
0.76,97.0,0.14,8.3,6.5,1.8,2,3,5,3,1,5,6.0,0.71,98.0,0.0
0.72,73.0,0.01,9.6,8.0,1.6,1,3,1,5,4,4,5.0,0.67,84.0,0.0
0.96,82.0,0.02,8.7,7.5,1.2,1,2,1,5,3,5,6.0,0.61,96.0,0.0
0.75,77.0,0.04,8.8,7.5,1.3,2,16,4,3,4,3,5.0,0.81,89.0,0.0
0.75,66.0,0.04,6.7,6.0,0.7,4,1,5,5,5,4,1.0,0.77,94.0,0.0
0.74,77.0,0.17,7.9,6.3,1.6,3,11,4,5,5,4,6.0,0.78,76.0,0.0
0.95,87.0,0.11,7.7,6.9,0.8,5,1,5,3,3,4,5.0,0.6,93.0,1.0
0.96,97.0,0.12,7.9,6.4,1.5,5,0,4,2,5,5,3.0,0.54,86.0,0.0
0.78,68.0,0.09,7.7,7.4,0.3,2,16,4,5,4,4,7.0,0.64,79.0,0.0
0.88,84.0,0.18,7.9,7.3,0.6,1,0,3,5,5,2,4.0,0.8,78.0,0.0
0.98,86.0,0.16,9.8,8.6,1.2,1,6,5,3,4,4,3.0,0.71,79.0,0.0
0.84,81.0,0.1,9.2,7.7,1.5,3,2,3,5,4,2,6.0,0.8,76.0,0.0
0.93,86.0,0.08,7.9,6.8,1.1,0,0,5,3,4,3,2.0,0.81,85.0,0.0
0.88,85.0,0.1,7.4,6.5,0.9,5,5,4,5,4,3,4.0,0.91,97.0,1.0
0.85,92.0,0.07,7.9,7.9,0.0,2,1,3,2,5,3,5.0,0.58,88.0,0.0
0.86,92.0,0.04,7.9,7.3,0.6,3,13,4,5,1,4,6.0,0.78,89.0,0.0
0.77,80.0,0.05,8.1,7.6,0.5,2,0,2,1,4,4,3.0,0.5,80.0,0.0
0.87,85.0,0.21,9.6,8.6,1.0,1,0,4,3,2,3,2.0,0.77,88.0,0.0
0.78,82.0,0.12,8.1,7.7,0.4,6,3,4,4,4,1,3.0,0.9,92.0,0.0
0.71,78.0,0.04,8.7,7.0,1.7,3,6,1,2,3,3,5.0,0.89,78.0,0.0
0.72,87.0,0.06,8.3,7.7,0.6,2,0,3,5,5,5,5.0,0.63,87.0,0.0
0.89,76.0,0.1,10.0,8.5,1.5,3,8,3,2,5,3,9.0,0.57,87.0,1.0
0.82,94.0,0.04,9.0,7.1,1.9,3,0,3,3,3,4,3.0,0.57,90.0,0.0
0.81,92.0,0.08,8.5,7.8,0.7,4,5,5,3,4,4,9.0,0.48,85.0,0.0
1.0,79.0,0.16,8.6,7.1,1.5,4,9,4,4,1,4,4.0,0.96,92.0,0.0
0.69,92.0,0.09,8.2,7.1,1.1,1,9,5,4,5,4,4.0,0.82,86.0,0.0
0.74,72.0,0.02,7.8,6.8,1.0,3,1,4,2,3,5,4.0,0.79,93.0,0.0
0.78,88.0,0.12,8.6,8.4,0.2,1,10,4,3,3,4,8.0,0.47,80.0,0.0
0.79,88.0,0.05,8.1,7.2,0.9,6,16,3,4,2,4,6.0,0.78,100.0,0.0
0.91,89.0,0.08,7.5,6.6,0.9,0,1,3,5,4,4,7.0,0.88,86.0,0.0
0.82,95.0,0.18,8.0,6.7,1.3,6,6,5,3,4,3,3.0,0.73,80.0,0.0
0.77,89.0,0.13,9.1,8.7,0.4,5,3,3,5,5,3,5.0,0.61,78.0,0.0
0.94,89.0,0.05,8.6,7.3,1.3,4,0,5,5,4,3,4.0,0.77,100.0,0.0
0.73,73.0,0.13,6.3,5.7,0.6,3,5,3,3,2,5,3.0,0.61,88.0,0.0
1.0,100.0,0.03,6.8,6.4,0.4,1,16,5,4,3,4,5.0,0.42,83.0,0.0
0.86,80.0,0.19,8.1,7.2,0.9,6,3,5,5,2,4,4.0,0.82,87.0,0.0
0.76,97.0,0.05,7.2,5.9,1.3,5,3,3,5,3,2,4.0,0.84,87.0,0.0
1.0,86.0,0.22,9.5,8.6,0.9,1,2,4,3,4,3,6.0,0.93,89.0,0.0
0.89,81.0,0.03,9.2,8.5,0.7,3,3,3,2,5,4,0.0,0.95,100.0,0.0
0.79,91.0,0.14,8.3,7.8,0.5,2,1,3,2,5,4,6.0,0.69,74.0,0.0
1.0,70.0,0.18,7.4,6.9,0.5,3,12,3,1,3,4,7.0,0.97,91.0,0.0
0.89,89.0,0.1,7.6,6.7,0.9,1,1,4,3,2,4,7.0,0.97,85.0,0.0
0.93,85.0,0.08,6.6,6.5,0.1,2,11,1,3,5,5,1.0,0.71,85.0,0.0
0.8,95.0,0.04,10.0,9.0,1.0,2,13,5,5,4,4,6.0,0.65,100.0,0.0
0.92,84.0,0.12,7.5,7.4,0.1,1,11,2,1,4,4,4.0,0.77,100.0,0.0
0.72,78.0,0.05,8.6,7.5,1.1,3,5,1,3,3,3,6.0,0.8,86.0,0.0
0.91,75.0,0.21,7.2,7.2,0.0,0,1,3,4,1,3,0.0,0.93,84.0,0.0
1.0,73.0,0.15,6.0,5.4,0.6,1,6,3,3,4,5,4.0,0.52,67.0,0.0
0.79,83.0,0.26,8.4,7.4,1.0,1,3,4,3,1,3,4.0,0.76,93.0,0.0
0.89,62.0,0.08,7.1,5.2,1.9,1,3,3,5,5,3,6.0,0.85,88.0,0.0
0.81,94.0,0.09,9.2,8.6,0.6,2,10,2,3,3,5,6.0,0.75,87.0,0.0
0.91,100.0,0.26,10.0,8.5,1.5,0,0,4,2,5,5,2.0,0.99,98.0,1.0
0.85,100.0,0.02,9.0,8.5,0.5,0,2,5,3,5,5,5.0,0.88,70.0,0.0
0.89,88.0,0.08,8.0,7.4,0.6,1,1,3,1,5,5,10.0,0.96,77.0,0.0
0.93,90.0,0.06,9.8,9.1,0.7,1,6,5,3,5,3,2.0,0.84,97.0,0.0
0.87,87.0,0.11,7.8,6.7,1.1,0,1,3,4,5,4,2.0,0.5,80.0,0.0
0.84,79.0,0.08,8.0,6.5,1.5,0,2,5,2,3,5,6.0,0.83,88.0,0.0
1.0,89.0,0.15,7.9,7.3,0.6,0,3,2,3,4,5,3.0,0.89,83.0,0.0
0.69,82.0,0.12,8.3,7.1,1.2,1,1,4,3,3,3,3.0,0.55,84.0,0.0
1.0,93.0,0.08,8.6,7.9,0.7,3,4,5,3,3,4,3.0,0.74,88.0,0.0
0.76,100.0,0.13,7.9,6.4,1.5,1,1,4,4,2,2,2.0,0.55,97.0,0.0
0.9,86.0,0.17,6.8,5.9,0.9,5,15,4,3,5,3,6.0,0.56,100.0,0.0
0.81,91.0,0.11,8.7,8.0,0.7,2,5,3,2,3,4,8.0,0.71,88.0,0.0
0.93,76.0,0.22,7.4,6.9,0.5,3,0,3,5,5,4,5.0,0.94,75.0,0.0
0.79,97.0,0.15,7.7,5.5,2.0,0,2,2,1,3,1,8.0,0.84,100.0,1.0
0.91,90.0,0.06,7.4,6.3,1.1,6,7,4,5,4,5,6.0,0.86,83.0,0.0
0.83,87.0,0.12,7.7,7.0,0.7,0,2,3,2,5,4,6.0,0.9,80.0,0.0
0.71,95.0,0.1,8.5,7.7,0.8,4,5,5,4,5,1,9.0,0.7,93.0,0.0
0.81,90.0,0.07,8.2,7.0,1.2,1,7,2,3,5,3,2.0,0.79,83.0,0.0
0.72,66.0,0.17,7.9,6.7,1.2,1,10,4,4,5,4,5.0,0.78,92.0,0.0
0.98,91.0,0.03,7.5,7.5,0.0,2,0,5,4,3,4,6.0,0.63,95.0,0.0
0.77,83.0,0.08,8.0,7.3,0.7,2,6,3,5,2,3,6.0,0.75,94.0,0.0
0.92,79.0,0.11,7.0,6.5,0.5,5,1,5,2,5,4,2.0,0.55,91.0,0.0
0.78,70.0,0.04,7.4,6.0,1.4,4,4,2,2,2,5,5.0,0.39,83.0,0.0
0.98,81.0,0.04,9.7,9.1,0.6,2,8,4,4,5,3,2.0,0.78,79.0,0.0
0.98,61.0,0.04,8.0,7.0,1.0,4,0,5,5,4,4,7.0,0.78,91.0,0.0
1.0,94.0,0.02,6.0,5.1,0.9,1,0,3,3,3,4,5.0,0.74,95.0,0.0
0.84,89.0,0.03,7.4,7.4,0.0,2,5,5,4,3,4,5.0,0.81,86.0,0.0
0.98,85.0,0.16,8.3,7.4,0.9,2,6,4,4,3,3,7.0,0.74,80.0,0.0
0.79,85.0,0.13,6.5,6.5,0.0,2,5,2,5,3,3,4.0,0.69,83.0,0.0
0.95,68.0,0.09,8.0,7.3,0.7,2,4,3,3,4,2,6.0,0.82,80.0,0.0
0.95,78.0,0.08,6.5,5.3,1.2,4,0,2,4,5,4,0.0,0.66,89.0,0.0
0.81,74.0,0.13,8.9,8.1,0.8,3,4,3,3,3,3,5.0,0.89,88.0,0.0
0.73,100.0,0.24,8.6,7.4,1.2,5,7,3,1,4,5,4.0,0.91,91.0,0.0
0.5700000000000001,94.0,0.08,8.9,8.4,0.5,1,1,5,3,4,4,2.0,0.54,76.0,1.0
0.83,86.0,0.06,8.0,7.0,1.0,0,8,4,1,4,3,6.0,0.79,85.0,0.0
0.78,97.0,0.25,7.9,7.3,0.6,0,0,4,3,4,3,0.0,0.8,95.0,0.0
0.88,100.0,0.13,7.0,5.7,1.3,4,2,3,2,4,3,4.0,0.84,94.0,0.0
0.87,98.0,0.04,7.0,6.2,0.8,3,3,5,5,4,4,4.0,0.94,93.0,0.0
0.87,83.0,0.13,8.7,7.5,1.2,4,12,3,4,5,3,1.0,0.63,90.0,0.0
0.68,87.0,0.09,10.0,9.0,1.0,1,15,3,2,2,5,8.0,0.83,93.0,0.0
0.69,69.0,0.11,6.9,6.8,0.1,0,1,3,4,3,4,6.0,0.87,87.0,0.0
1.0,78.0,0.11,7.9,7.9,0.0,1,2,5,5,4,4,8.0,0.71,84.0,0.0
0.75,82.0,0.11,6.8,6.7,0.1,1,12,4,3,3,4,7.0,0.9,98.0,0.0
0.82,95.0,0.07,8.0,7.4,0.6,3,0,5,4,4,1,2.0,0.79,94.0,0.0
0.89,86.0,0.06,8.2,6.4,1.8,2,1,5,5,2,5,4.0,0.48,92.0,0.0
0.88,77.0,0.13,8.1,7.5,0.6,1,3,5,5,1,5,3.0,0.89,77.0,0.0
0.74,82.0,0.12,7.1,6.4,0.7,1,9,5,3,3,5,2.0,0.86,70.0,0.0
1.0,88.0,0.08,6.0,5.2,0.8,1,1,3,4,3,5,7.0,0.95,89.0,0.0
0.72,90.0,0.09,7.3,5.8,1.5,6,0,3,1,3,3,3.0,0.94,82.0,0.0
0.93,93.0,0.07,7.1,6.3,0.8,5,1,3,2,1,5,5.0,0.6,83.0,0.0
0.95,84.0,0.02,7.0,6.7,0.3,0,4,3,3,4,5,5.0,0.85,92.0,0.0
0.74,100.0,0.06,9.6,8.9,0.7,0,2,4,4,2,4,6.0,0.83,98.0,0.0
0.96,89.0,0.1,6.5,6.3,0.2,1,4,4,4,4,4,3.0,0.58,97.0,0.0
1.0,89.0,0.1,9.6,9.0,0.6,0,6,3,3,2,3,5.0,0.72,91.0,0.0
0.86,87.0,0.14,8.2,7.0,1.2,3,1,4,4,5,3,9.0,0.95,90.0,0.0
0.86,96.0,0.04,7.0,6.7,0.3,3,5,4,5,4,4,9.0,0.83,89.0,0.0
0.94,83.0,0.06,8.9,8.5,0.4,2,0,3,5,3,4,6.0,0.89,84.0,0.0
0.8,94.0,0.13,7.2,7.2,0.0,4,6,3,3,5,3,5.0,0.265,83.0,0.0
0.88,89.0,0.03,7.0,6.3,0.7,5,0,3,3,1,4,6.0,0.87,88.0,0.0
0.84,67.0,0.1,7.4,7.1,0.3,4,1,2,1,3,5,3.0,0.79,90.0,0.0
0.76,90.0,0.06,9.5,8.2,1.3,1,2,4,3,3,4,5.0,0.9,88.0,0.0
0.65,83.0,0.07,8.3,6.6,1.7,0,3,5,2,4,4,8.0,0.56,91.0,0.0
0.82,80.0,0.18,9.0,8.2,0.8,2,9,4,2,3,5,1.0,0.88,80.0,0.0
0.68,86.0,0.16,6.5,5.7,0.8,2,2,3,3,3,3,4.0,0.7,100.0,0.0
0.7,95.0,0.14,7.6,7.0,0.6,3,1,4,2,4,3,5.0,0.71,91.0,0.0
1.0,84.0,0.19,7.1,5.5,1.6,3,0,5,4,5,4,5.0,0.67,86.0,0.0
0.89,75.0,0.14,10.0,9.3,0.7,1,15,2,5,4,3,4.0,0.6,65.5,0.0
0.86,69.0,0.14,8.4,7.5,0.9,0,2,4,2,3,4,4.0,0.42,100.0,0.0
0.78,97.0,0.06,8.1,7.3,0.8,0,2,4,3,4,1,8.0,0.65,92.0,0.0
0.87,86.0,0.03,6.7,6.1,0.6,2,2,5,3,4,4,5.0,0.93,90.0,0.0
0.88,60.0,0.06,8.0,7.5,0.5,2,2,2,4,4,5,4.0,0.82,75.0,0.0
0.75,73.0,0.02,8.3,7.5,0.8,1,0,2,3,4,4,3.0,0.47,76.0,1.0
0.9,80.0,0.09,6.1,5.5,0.6,1,6,4,3,2,3,7.0,0.63,93.0,0.0
0.91,80.0,0.07,7.1,5.5,1.6,4,9,5,5,5,3,7.0,0.86,87.0,0.0
0.72,80.0,0.06,7.5,6.4,1.1,4,1,4,2,4,3,2.0,0.95,79.0,1.0
0.81,79.0,0.13,8.9,7.8,1.1,2,2,3,5,4,5,5.0,0.65,86.0,0.0
0.82,66.0,0.1,8.8,8.0,0.8,0,2,3,5,5,3,6.0,0.62,92.0,0.0
0.72,80.0,0.02,8.0,7.2,0.8,0,1,5,3,3,5,5.0,0.57,83.0,0.0
0.8,87.0,0.14,8.3,7.8,0.5,6,7,3,3,4,4,8.0,0.78,84.0,0.0
0.78,83.0,0.1,8.3,6.7,1.6,2,9,3,2,4,5,6.0,0.77,94.0,0.0
0.96,63.0,0.275,7.1,6.0,1.1,3,1,4,3,4,5,2.0,0.51,86.0,0.0
0.72,89.0,0.1,7.6,7.0,0.6,2,4,4,5,3,4,0.0,0.79,71.0,0.0
0.75,95.0,0.07,9.5,7.9,1.6,1,6,3,1,4,2,5.0,0.84,93.0,0.0
0.97,80.0,0.12,6.0,5.0,1.0,1,1,5,2,2,5,9.0,0.9,76.0,0.0
0.82,91.0,0.02,7.0,6.2,0.8,1,0,5,3,5,4,5.0,0.84,79.0,1.0
0.76,70.0,0.19,8.6,7.6,1.0,4,7,3,5,4,4,6.0,0.47,74.0,0.0
0.93,100.0,0.05,6.0,4.7,1.3,2,6,4,5,4,4,2.0,0.66,90.0,0.0
0.7,92.0,0.05,7.5,6.1,1.4,0,6,5,1,4,3,2.0,0.92,74.0,1.0
0.79,75.0,0.01,8.2,8.2,0.0,2,0,4,3,4,4,7.0,0.79,86.0,0.0
0.89,82.0,0.11,7.3,6.9,0.4,4,1,3,2,4,3,7.0,0.84,77.0,0.0
0.93,81.0,0.06,7.4,7.2,0.2,1,3,4,3,1,3,3.0,0.4,88.0,0.0
0.8,100.0,0.02,7.2,6.3,0.9,1,1,4,3,2,5,4.0,0.5,95.0,0.0
