attendance_consistency,task_completion,task_delay_rate,productive_hours,experience,project_complexity,feedback_score,role,performance_percentage,efficiency_score,exp_productivity
63.39,46.86,83.85,5.67,9,2,1.77,Team Lead,64.33,-36.989999999999995,10.773
81.81,76.3,57.65,6.43,10,5,3.74,Manager,92.66,18.65,12.86
93.82,95.03,12.73,8.95,5,4,4.43,Team Lead,100.0,82.3,13.424999999999999
51.93,57.41,69.12,5.71,13,5,2.09,Team Lead,71.38,-11.710000000000008,13.133
88.25,89.13,25.1,9.81,14,4,4.79,Employee,100.0,64.03,23.544
94.71,81.79,14.56,9.87,9,2,4.11,HR,100.0,67.23,18.752999999999997
95.54,95.35,23.48,9.84,2,3,4.98,Team Lead,100.0,71.86999999999999,11.808
90.82,82.91,6.9,9.24,4,3,4.07,Team Lead,100.0,76.00999999999999,12.936
66.18,57.15,76.94,4.74,8,1,2.38,Employee,67.91,-19.79,8.532
86.75,87.36,0.76,9.29,13,4,4.89,Manager,100.0,86.6,21.366999999999997
67.39,44.73,73.44,5.25,6,3,2.25,Team Lead,59.08,-28.71,8.4
58.39,64.79,81.59,4.44,8,5,2.1,HR,56.42,-16.799999999999997,7.992000000000001
91.12,85.06,15.95,8.94,6,5,5.0,Team Lead,100.0,69.11,14.304
88.67,94.12,4.7,8.58,7,2,4.21,HR,100.0,89.42,14.586
62.65,62.24,82.84,5.04,6,2,1.85,Employee,60.21,-20.6,8.064
84.36,78.68,43.49,7.89,1,2,3.59,Manager,91.41,35.190000000000005,8.679
50.53,64.05,70.55,5.15,3,3,1.48,Manager,50.87,-6.5,6.695
64.82,46.51,81.41,5.37,13,5,1.54,Employee,64.46,-34.9,12.350999999999999
76.54,73.34,42.15,6.42,3,3,3.39,Team Lead,81.76,31.190000000000005,8.346
68.44,55.5,72.18,5.25,13,1,1.92,HR,79.15,-16.680000000000007,12.075
58.15,60.28,71.72,4.25,6,4,1.05,HR,48.78,-11.439999999999998,6.800000000000001
66.8,53.58,87.55,5.48,1,1,1.11,Manager,48.21,-33.97,6.028000000000001
80.3,68.63,39.24,6.68,9,4,3.52,Team Lead,93.85,29.389999999999993,12.691999999999998
50.33,45.43,75.71,4.25,13,4,2.3,Manager,61.82,-30.279999999999994,9.774999999999999
59.48,63.85,77.06,5.94,8,2,1.87,Manager,69.64,-13.21,10.692
92.73,85.79,27.74,9.29,5,2,4.94,Employee,100.0,58.05000000000001,13.934999999999999
77.25,79.48,33.52,6.27,10,4,3.02,Employee,94.9,45.96,12.54
67.4,52.28,84.12,4.85,4,2,2.25,Employee,55.19,-31.840000000000003,6.789999999999999
55.0,55.16,87.77,5.46,10,1,1.76,HR,66.87,-32.61,10.92
99.08,89.06,5.95,8.33,8,4,4.24,Manager,100.0,83.11,14.994
94.21,95.39,5.83,9.21,8,5,4.68,Employee,100.0,89.56,16.578000000000003
80.37,71.98,36.86,6.96,2,2,3.78,HR,88.04,35.120000000000005,8.352
55.76,42.84,73.12,4.52,3,2,1.79,HR,45.69,-30.28,5.8759999999999994
85.95,94.93,12.59,8.55,9,1,4.67,Team Lead,100.0,82.34,16.245
74.98,77.99,48.66,7.23,10,1,3.26,Employee,100.0,29.33,14.46
72.82,77.13,47.14,7.09,3,1,2.68,HR,84.8,29.989999999999995,9.217
80.38,65.44,40.07,6.71,8,3,2.87,Team Lead,89.6,25.369999999999997,12.078
75.98,76.04,56.97,6.52,6,1,2.86,Team Lead,87.34,19.070000000000007,10.432
99.24,87.0,22.78,9.75,11,5,4.71,HR,100.0,64.22,20.475
53.81,48.88,69.61,5.97,6,5,1.96,HR,55.86,-20.729999999999997,9.552
82.56,76.05,53.79,6.44,11,1,3.47,HR,100.0,22.259999999999998,13.524000000000001
97.99,84.33,20.42,8.4,5,2,4.82,Team Lead,100.0,63.91,12.600000000000001
86.52,96.33,5.2,9.62,12,4,4.85,Manager,100.0,91.13,21.164
63.81,52.09,73.84,4.85,3,1,1.5,Employee,52.59,-21.75,6.305
81.28,65.26,53.64,7.15,13,2,3.62,Manager,100.0,11.620000000000005,16.445
84.6,75.64,33.36,7.12,4,1,3.87,HR,98.12,42.28,9.968
85.02,85.02,0.89,9.1,7,4,4.47,HR,100.0,84.13,15.469999999999999
86.69,91.08,10.5,9.63,14,2,4.9,Manager,100.0,80.58,23.112000000000002
66.51,48.66,77.0,5.86,6,2,1.41,HR,60.18,-28.340000000000003,9.376000000000001
76.54,74.45,40.22,6.6,11,5,3.37,Manager,95.28,34.230000000000004,13.86
94.55,95.34,13.6,9.73,3,3,4.81,Manager,100.0,81.74000000000001,12.649000000000001
58.17,64.13,60.85,5.65,3,5,1.95,HR,55.62,3.279999999999994,7.345000000000001
73.48,77.27,41.78,7.43,13,5,3.83,Employee,100.0,35.489999999999995,17.089
89.31,87.82,15.62,9.77,3,3,4.8,Employee,100.0,72.19999999999999,12.701
67.94,49.95,80.24,4.05,7,5,1.16,Team Lead,46.01,-30.289999999999992,6.885
93.04,87.49,16.71,9.87,14,2,4.0,Team Lead,100.0,70.78,23.688
53.61,63.69,66.71,5.26,13,3,1.66,Team Lead,73.76,-3.019999999999996,12.097999999999999
65.29,54.55,63.29,5.0,10,4,2.4,Team Lead,69.03,-8.740000000000002,10.0
57.53,55.29,65.03,5.54,11,5,1.86,HR,66.99,-9.740000000000002,11.634
90.58,90.4,19.69,9.78,6,4,4.05,Manager,100.0,70.71000000000001,15.648
87.85,82.24,20.53,9.97,13,1,4.67,Team Lead,100.0,61.709999999999994,22.931
78.3,75.24,34.43,7.54,8,1,3.41,Team Lead,100.0,40.809999999999995,13.572000000000001
56.5,51.78,84.56,4.25,8,1,2.29,HR,59.43,-32.78,7.65
73.27,70.02,45.8,6.77,3,4,3.74,Team Lead,80.75,24.22,8.801
74.93,79.56,41.95,7.77,2,3,2.73,Employee,84.7,37.61,9.324
98.97,80.12,24.84,9.02,2,5,4.83,Team Lead,100.0,55.28,10.824
97.46,81.74,5.1,9.03,5,2,4.96,HR,100.0,76.64,13.544999999999998
94.75,88.28,29.89,9.15,2,1,4.15,Employee,100.0,58.39,10.98
77.92,67.51,47.96,7.96,4,5,3.65,HR,86.17,19.550000000000004,11.144
92.93,86.1,3.1,8.38,7,5,4.92,HR,100.0,83.0,14.246
87.26,84.35,8.59,8.77,2,3,4.92,Employee,100.0,75.75999999999999,10.524
58.56,40.04,76.8,5.14,6,2,1.11,HR,50.56,-36.76,8.224
76.81,75.85,31.0,7.51,2,1,3.04,HR,90.49,44.849999999999994,9.011999999999999
74.39,65.06,47.62,7.55,13,5,2.75,Manager,96.13,17.440000000000005,17.365
82.89,78.34,37.31,7.03,8,3,3.37,Employee,98.78,41.03,12.654
51.59,58.43,60.97,5.86,1,4,2.37,Team Lead,53.4,-2.539999999999999,6.446000000000001
88.15,95.09,19.4,9.35,12,4,4.24,Team Lead,100.0,75.69,20.57
85.19,91.43,10.42,8.43,7,5,4.21,Team Lead,100.0,81.01,14.331
94.47,90.0,8.63,8.3,12,5,4.1,Team Lead,100.0,81.37,18.26
98.54,97.83,24.26,9.64,14,4,4.57,Manager,100.0,73.57,23.136
87.71,83.72,29.29,9.32,1,4,4.52,Team Lead,100.0,54.43,10.252
67.13,56.19,63.49,5.47,10,5,2.04,Manager,68.49,-7.300000000000004,10.94
88.85,83.62,13.85,9.81,3,2,4.01,Employee,100.0,69.77000000000001,12.753000000000002
74.32,70.4,34.4,6.49,13,1,3.01,Team Lead,100.0,36.00000000000001,14.927
82.32,77.51,58.82,6.78,9,3,3.87,Manager,97.34,18.690000000000005,12.882
97.32,83.16,26.54,9.36,1,1,4.65,Employee,100.0,56.62,10.296
73.81,69.61,59.41,6.81,13,3,3.87,HR,100.0,10.200000000000003,15.662999999999998
71.62,74.08,54.85,7.8,14,4,2.93,HR,100.0,19.229999999999997,18.72
76.17,76.88,30.07,7.76,14,4,3.35,Employee,100.0,46.809999999999995,18.624
71.99,74.37,50.9,7.55,8,4,3.8,Team Lead,94.91,23.470000000000006,13.59
98.89,99.88,15.31,9.64,1,5,4.46,Team Lead,100.0,84.57,10.604000000000001
95.7,87.68,11.78,9.27,13,2,4.25,HR,100.0,75.9,21.320999999999998
50.49,59.0,85.51,4.71,7,2,1.49,HR,54.23,-26.510000000000005,8.007
53.3,41.38,66.5,4.97,3,5,1.08,Employee,38.66,-25.119999999999997,6.461
50.65,45.89,69.31,4.8,10,4,1.36,HR,55.38,-23.42,9.6
54.99,51.5,60.7,4.8,12,4,1.14,HR,62.78,-9.200000000000003,10.56
88.74,95.68,25.98,8.96,10,5,4.05,Manager,100.0,69.7,17.92
82.24,69.68,36.86,6.86,9,5,3.52,Employee,93.98,32.82000000000001,13.034
87.57,97.42,16.64,8.92,10,3,4.17,HR,100.0,80.78,17.84
97.04,90.19,15.49,9.76,11,1,4.56,Employee,100.0,74.7,20.496
60.85,62.71,89.82,4.25,12,4,1.97,HR,63.15,-27.109999999999992,9.350000000000001
87.98,82.29,14.27,9.24,14,5,4.39,Employee,100.0,68.02000000000001,22.176
58.45,53.8,66.59,4.41,10,2,1.49,Manager,62.95,-12.790000000000006,8.82
99.57,98.79,15.6,9.43,10,2,4.37,Manager,100.0,83.19000000000001,18.86
97.01,86.32,27.27,8.53,13,3,4.29,Team Lead,100.0,59.05,19.618999999999996
64.97,43.41,78.73,4.05,4,5,1.63,Employee,39.94,-35.32000000000001,5.669999999999999
51.31,58.43,67.68,4.41,2,5,1.68,HR,41.3,-9.250000000000007,5.292
84.57,76.15,45.24,6.28,13,5,2.55,Manager,95.1,30.910000000000004,14.443999999999999
83.35,79.75,50.1,7.73,11,2,3.26,Employee,100.0,29.65,16.233
50.42,51.24,77.65,4.48,5,3,1.66,HR,47.15,-26.410000000000004,6.720000000000001
78.03,69.93,49.08,6.09,11,5,2.67,HR,86.44,20.85000000000001,12.789
77.15,78.37,35.75,7.28,14,1,3.44,Manager,100.0,42.620000000000005,17.472
88.73,97.6,12.21,9.84,4,2,4.6,HR,100.0,85.38999999999999,13.776
97.29,82.65,26.3,8.95,1,2,4.04,Manager,100.0,56.35000000000001,9.845
65.61,62.43,64.37,4.57,13,1,1.26,Manager,75.4,-1.9400000000000048,10.511
63.68,63.15,60.73,5.96,11,3,1.52,Team Lead,76.11,2.4200000000000017,12.516
78.69,74.2,58.88,7.17,2,1,2.84,Team Lead,82.22,15.32,8.604
75.63,67.26,46.01,6.8,14,2,3.73,Employee,100.0,21.250000000000007,16.32
77.02,75.54,59.84,7.32,14,2,3.69,Employee,100.0,15.700000000000003,17.568
75.71,73.64,48.7,7.65,6,2,3.6,Employee,95.53,24.939999999999998,12.240000000000002
50.49,46.28,62.75,4.67,3,4,2.16,HR,46.12,-16.47,6.071
83.08,75.79,49.74,7.78,5,5,3.99,Manager,92.45,26.050000000000004,11.67
78.35,74.14,33.0,7.92,11,4,3.29,Employee,100.0,41.14,16.632
62.16,49.33,75.17,5.3,4,1,2.43,Manager,59.98,-25.840000000000003,7.419999999999999
86.94,85.03,12.89,8.97,7,3,4.14,Team Lead,100.0,72.14,15.249
52.58,40.47,64.58,5.38,12,3,1.64,Employee,65.51,-24.11,11.836
89.0,95.15,24.69,8.72,3,3,4.17,Employee,100.0,70.46000000000001,11.336000000000002
97.17,86.61,16.43,8.81,4,5,4.47,Employee,100.0,70.18,12.334
56.83,64.16,84.79,5.16,14,2,1.14,HR,72.0,-20.63000000000001,12.384
96.8,90.08,14.36,9.62,6,3,4.8,HR,100.0,75.72,15.392
60.39,47.43,67.85,5.56,6,2,2.34,Employee,63.23,-20.419999999999995,8.895999999999999
73.53,71.52,34.23,6.44,10,1,3.51,Employee,100.0,37.29,12.88
68.35,59.11,62.37,4.9,7,2,1.15,Employee,62.59,-3.259999999999998,8.33
52.88,47.6,74.51,5.08,2,5,1.64,HR,40.21,-26.910000000000004,6.096
68.5,53.9,74.85,4.07,3,4,1.67,Manager,45.02,-20.949999999999996,5.291
52.72,45.92,83.29,5.94,9,4,1.7,Employee,58.51,-37.370000000000005,11.286
93.5,88.35,11.15,8.05,6,5,4.76,Employee,100.0,77.19999999999999,12.880000000000003
88.96,83.09,16.52,8.49,4,4,4.77,Manager,100.0,66.57000000000001,11.886
59.52,54.53,79.0,5.47,13,2,1.21,HR,70.84,-24.47,12.580999999999998
90.63,80.27,11.63,9.32,3,5,4.13,Team Lead,100.0,68.64,12.116000000000001
71.75,65.48,31.67,6.2,1,1,2.8,Team Lead,76.25,33.81,6.820000000000001
74.03,77.95,46.77,7.65,6,4,3.77,HR,93.66,31.18,12.240000000000002
80.2,68.88,34.73,7.86,14,4,2.52,Manager,100.0,34.15,18.864
52.5,57.14,78.46,4.85,14,5,2.01,Employee,66.88,-21.319999999999993,11.639999999999999
71.43,66.2,43.5,6.58,8,4,3.37,HR,86.78,22.700000000000003,11.844000000000001
50.19,58.94,80.46,5.13,14,2,2.04,Employee,73.97,-21.519999999999996,12.312
61.44,61.78,79.36,5.89,14,3,1.42,HR,76.59,-17.58,14.136
80.96,69.94,47.58,6.63,1,5,3.85,Employee,76.13,22.36,7.293
58.68,49.82,66.63,4.48,6,1,1.75,Manager,57.44,-16.809999999999995,7.168000000000001
73.79,66.01,38.04,7.82,14,1,3.45,Manager,100.0,27.970000000000006,18.768
96.38,81.15,15.27,9.13,12,4,4.7,Manager,100.0,65.88000000000001,20.086000000000002
81.45,77.38,33.07,7.97,12,1,3.02,Manager,100.0,44.309999999999995,17.534000000000002
90.97,89.69,19.07,8.62,2,2,4.87,HR,100.0,70.62,10.344
82.53,69.9,56.78,6.15,1,5,3.45,Team Lead,70.28,13.120000000000005,6.765000000000001
89.8,85.88,0.86,9.14,8,2,4.9,Employee,100.0,85.02,16.452
91.23,85.64,5.67,8.33,8,5,4.45,Manager,100.0,79.97,14.994
85.27,95.42,17.63,9.24,4,2,4.68,Manager,100.0,77.79,12.936
86.98,86.88,3.5,8.91,4,5,4.27,HR,100.0,83.38,12.474
81.89,67.57,32.8,7.92,13,4,3.62,Team Lead,100.0,34.769999999999996,18.215999999999998
92.7,97.96,10.7,8.17,7,4,4.82,Team Lead,100.0,87.25999999999999,13.889
76.4,68.46,35.07,6.14,5,1,3.55,Manager,89.07,33.38999999999999,9.209999999999999
77.11,79.57,42.35,6.44,4,2,3.27,Team Lead,87.21,37.21999999999999,9.016
93.65,90.27,28.06,8.06,2,4,4.43,Team Lead,100.0,62.209999999999994,9.672
80.14,65.62,30.2,6.14,12,3,3.28,Manager,98.76,35.42,13.508000000000001
82.84,78.42,49.46,7.45,11,3,3.32,HR,100.0,28.96,15.645000000000001
70.61,70.44,35.32,6.19,13,3,3.83,Manager,100.0,35.12,14.237
52.54,60.33,85.33,5.54,6,5,1.53,HR,51.52,-25.0,8.864
83.51,74.85,55.38,8.0,7,5,3.25,Manager,92.49,19.46999999999999,13.6
85.51,83.03,16.17,9.14,8,4,4.67,Manager,100.0,66.86,16.452
60.68,43.1,84.26,4.3,14,4,1.57,Manager,60.61,-41.160000000000004,10.319999999999999
86.0,96.49,17.97,8.54,7,5,4.99,Manager,100.0,78.52,14.517999999999999
69.94,61.51,81.22,4.49,12,3,1.85,HR,69.42,-19.71,9.878000000000002
99.55,91.76,29.53,8.69,13,4,4.92,Manager,100.0,62.230000000000004,19.987
77.13,76.9,34.26,7.45,8,1,3.23,Employee,100.0,42.64000000000001,13.41
67.15,55.03,84.01,4.03,6,1,1.17,Manager,52.48,-28.980000000000004,6.448
82.47,77.47,39.58,7.15,11,3,2.73,HR,100.0,37.89,15.015
97.55,96.08,28.92,8.7,1,3,4.5,Team Lead,100.0,67.16,9.57
86.25,86.93,13.8,8.55,13,5,4.86,Employee,100.0,73.13000000000001,19.665
95.96,81.61,22.24,8.97,14,3,4.12,Team Lead,100.0,59.370000000000005,21.528000000000002
67.87,44.58,72.13,4.97,3,5,1.89,Employee,46.2,-27.549999999999997,6.461
91.27,88.73,23.83,9.67,14,4,4.79,Employee,100.0,64.9,23.208
67.87,44.85,63.91,5.95,7,5,2.3,Manager,62.91,-19.059999999999995,10.115
96.65,97.06,5.2,9.47,9,2,4.09,Team Lead,100.0,91.86,17.993000000000002
91.97,87.13,13.78,8.88,9,2,4.45,Manager,100.0,73.35,16.872
76.73,74.21,39.44,7.0,6,3,3.72,HR,93.17,34.769999999999996,11.200000000000001
62.79,49.54,81.75,5.97,11,2,1.92,Employee,71.64,-32.21,12.537
88.45,81.39,27.24,9.87,5,3,4.15,HR,100.0,54.150000000000006,14.805
65.33,59.12,86.56,4.49,10,5,2.1,HR,59.73,-27.440000000000005,8.98
82.45,75.2,39.02,6.87,7,2,3.0,Team Lead,94.75,36.18,11.679
89.93,88.05,8.19,8.69,6,1,4.68,Team Lead,100.0,79.86,13.904
62.96,46.56,70.24,4.1,1,1,2.43,Team Lead,48.31,-23.679999999999993,4.51
75.82,75.48,57.56,6.81,7,3,3.34,Manager,88.85,17.92,11.576999999999998
55.6,47.15,74.48,5.41,12,2,2.49,Employee,72.66,-27.330000000000005,11.902000000000001
87.33,97.46,6.25,9.37,3,4,4.06,Employee,100.0,91.21,12.181
55.68,48.98,71.52,4.93,1,3,2.25,HR,46.24,-22.54,5.423
72.36,75.85,31.57,7.56,4,4,3.88,HR,91.73,44.279999999999994,10.584
54.53,54.17,70.55,5.22,12,2,1.04,Manager,67.06,-16.379999999999995,11.484
91.73,84.86,28.94,9.01,14,3,4.38,HR,100.0,55.92,21.624
62.99,64.51,68.43,4.07,8,2,2.48,HR,66.13,-3.9200000000000017,7.3260000000000005
76.59,67.44,52.53,6.33,7,3,3.22,Manager,84.66,14.909999999999997,10.761
96.96,99.06,1.8,8.78,3,3,4.49,Employee,100.0,97.26,11.414
81.42,71.8,45.24,6.39,2,2,3.94,HR,84.46,26.559999999999995,7.667999999999999
89.16,82.21,22.35,8.29,10,4,4.96,Team Lead,100.0,59.85999999999999,16.58
63.76,58.45,83.12,5.13,7,3,2.15,Employee,61.26,-24.67,8.721
95.24,81.68,24.8,9.28,14,5,4.23,Employee,100.0,56.88000000000001,22.272
73.97,65.09,35.47,6.95,13,2,2.91,Employee,100.0,29.620000000000005,15.985
83.95,76.73,51.56,6.28,11,1,2.51,Manager,97.61,25.17,13.188
74.26,80.0,41.27,6.45,2,1,3.66,HR,86.83,38.73,7.74
78.2,76.15,44.39,7.17,13,4,2.8,HR,100.0,31.760000000000005,16.491
80.29,66.36,37.03,7.36,12,4,2.84,HR,99.54,29.33,16.192000000000004
79.45,68.24,45.55,7.19,11,2,3.29,Manager,100.0,22.689999999999998,15.099000000000002
96.4,80.97,24.53,9.2,8,1,4.96,Employee,100.0,56.44,16.56
52.61,54.14,73.27,5.59,14,2,2.09,HR,77.14,-19.129999999999995,13.415999999999999
58.86,42.06,86.76,5.74,8,4,2.5,Employee,59.16,-44.7,10.332
54.09,57.85,74.82,5.51,13,4,1.15,Employee,67.23,-16.96999999999999,12.672999999999998
87.31,86.87,28.08,9.03,13,4,4.2,HR,100.0,58.790000000000006,20.769
75.23,66.98,37.98,6.88,14,3,2.55,Employee,100.0,29.000000000000007,16.512
58.6,55.95,70.14,5.23,13,3,1.06,HR,68.84,-14.189999999999998,12.029
86.49,91.34,27.8,9.22,6,4,4.91,Manager,100.0,63.540000000000006,14.752000000000002
93.49,80.72,2.56,9.41,8,4,4.74,Employee,100.0,78.16,16.938000000000002
90.68,87.26,29.86,8.89,6,4,4.33,HR,100.0,57.400000000000006,14.224000000000002
51.93,43.7,89.77,5.47,3,5,1.9,Manager,40.98,-46.06999999999999,7.111
61.44,54.29,64.67,5.71,10,5,1.59,HR,65.2,-10.380000000000003,11.42
80.19,75.61,56.76,7.26,9,4,2.79,HR,91.61,18.85,13.793999999999999
99.06,88.94,24.48,8.51,6,2,4.98,Manager,100.0,64.46,13.616
61.76,44.84,61.98,5.96,7,1,1.19,HR,64.24,-17.139999999999993,10.132
85.08,80.15,6.57,8.07,10,5,4.11,Employee,100.0,73.58000000000001,16.14
64.71,44.45,87.75,5.45,1,1,1.15,HR,44.93,-43.3,5.995000000000001
96.88,88.12,22.28,8.36,14,3,4.71,Team Lead,100.0,65.84,20.063999999999997
84.62,67.79,31.63,7.31,12,5,3.83,HR,100.0,36.16000000000001,16.082
71.04,68.66,52.94,7.28,1,3,2.96,Employee,74.99,15.719999999999999,8.008000000000001
81.68,66.97,48.03,6.07,11,2,3.25,Manager,95.48,18.939999999999998,12.747000000000002
51.35,53.83,65.64,4.67,5,5,1.8,HR,48.24,-11.810000000000002,7.005
51.69,53.12,69.2,4.14,11,1,1.3,Employee,62.22,-16.080000000000005,8.693999999999999
84.21,67.19,48.72,6.38,11,2,2.53,Team Lead,93.99,18.47,13.398
73.06,78.54,38.28,6.84,13,3,2.8,Team Lead,100.0,40.260000000000005,15.732
70.66,74.97,31.33,7.57,11,2,3.87,HR,100.0,43.64,15.897000000000002
75.27,66.41,44.58,7.84,14,3,2.56,HR,100.0,21.83,18.816
87.22,82.04,13.72,9.72,3,1,4.69,HR,100.0,68.32000000000001,12.636000000000001
65.73,48.35,84.95,5.23,7,1,2.05,HR,62.33,-36.6,8.891
98.42,86.03,14.05,8.09,7,4,4.68,HR,100.0,71.98,13.753
72.03,65.48,37.36,6.99,9,4,3.04,Employee,90.31,28.120000000000005,13.281
98.9,96.22,26.31,9.9,14,4,4.86,Manager,100.0,69.91,23.76
83.34,76.48,41.09,6.33,8,4,2.52,Manager,87.82,35.39,11.394
60.7,53.82,63.17,4.49,6,3,2.17,HR,57.97,-9.350000000000001,7.184000000000001
72.54,69.41,30.59,6.95,5,1,3.65,Employee,93.83,38.81999999999999,10.425
63.71,51.23,81.57,5.54,9,5,1.99,Team Lead,60.66,-30.339999999999996,10.526
83.97,65.61,45.17,7.13,5,5,3.89,Employee,86.74,20.439999999999998,10.695
78.09,68.85,50.75,7.72,9,3,2.52,Manager,93.2,18.099999999999994,14.668
88.98,96.7,9.81,8.98,4,4,4.94,Employee,100.0,86.89,12.572
82.58,74.9,40.48,7.02,10,4,3.34,Team Lead,98.81,34.42000000000001,14.04
72.2,67.48,54.7,7.58,1,2,2.53,HR,75.87,12.780000000000001,8.338000000000001
63.59,62.22,75.72,4.36,13,4,1.43,HR,66.35,-13.5,10.028
85.84,94.99,9.66,8.21,6,3,4.76,Team Lead,100.0,85.33,13.136000000000003
80.44,76.9,39.5,7.71,2,3,3.86,Team Lead,91.15,37.400000000000006,9.251999999999999
55.56,55.89,71.43,4.67,7,2,1.43,Employee,56.91,-15.540000000000006,7.939
65.02,62.32,89.83,4.07,12,3,1.83,HR,64.46,-27.509999999999998,8.954
82.61,68.93,35.29,7.85,7,4,2.84,HR,93.72,33.64000000000001,13.344999999999999
86.54,90.52,16.05,9.05,13,4,4.72,Team Lead,100.0,74.47,20.815
82.6,78.93,47.47,7.56,11,3,3.24,Team Lead,100.0,31.460000000000008,15.876
98.04,85.31,11.05,9.18,2,5,4.87,Employee,100.0,74.26,11.016
92.24,92.54,15.13,9.93,4,5,4.69,HR,100.0,77.41000000000001,13.902
54.71,51.16,78.39,4.2,4,1,1.87,Manager,49.68,-27.230000000000004,5.88
90.51,89.91,0.98,8.39,3,2,4.15,Manager,100.0,88.92999999999999,10.907000000000002
79.39,66.13,33.37,6.1,10,5,2.89,Manager,87.94,32.76,12.2
75.59,78.6,54.26,7.38,6,5,3.31,Employee,87.1,24.339999999999996,11.808
72.83,75.12,58.71,6.71,5,2,3.61,HR,86.59,16.410000000000004,10.065
71.45,72.27,50.94,7.7,9,4,2.76,HR,91.64,21.33,14.629999999999999
99.16,95.32,0.16,8.0,12,1,4.38,Team Lead,100.0,95.16,17.6
88.75,94.98,5.36,9.33,7,2,4.97,HR,100.0,89.62,15.860999999999999
57.74,64.71,82.84,4.16,3,1,1.99,Team Lead,52.04,-18.13000000000001,5.408
97.41,90.31,21.8,8.68,13,5,4.73,Manager,100.0,68.51,19.964
69.7,44.71,63.6,5.63,6,5,2.16,Team Lead,59.04,-18.89,9.008000000000001
53.25,44.95,89.35,4.61,9,4,2.18,Employee,52.88,-44.39999999999999,8.759
64.55,44.74,68.07,4.74,11,4,1.57,Employee,61.51,-23.32999999999999,9.954
93.15,83.19,3.0,8.85,3,3,4.44,Employee,100.0,80.19,11.505
85.0,80.37,11.69,9.38,11,3,4.7,HR,100.0,68.68,19.698000000000004
65.65,49.71,83.74,5.49,4,4,1.56,HR,49.84,-34.029999999999994,7.686
